Altium Designer Pick and Place Locations
F:\数字buck\digital_buck\DSP_Control\DSP-Control\Project Outputs for DSP-Control\Pick Place for DSP_Control.csv

========================================================================================================================
File Design Information:

Date:       16/08/26
Time:       13:54
Revision:   8fe15982f9096e6a8758c957aab4371c4b6384d5
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R70","22Ω","TopLayer","R0603","22.4099","20.8610","0","0603,22Ω"
"R69","1k","TopLayer","R0603","65.1629","33.4822","0","0603,1k"
"R68","4.7k","TopLayer","R0603","53.6430","14.1160","270","0603,4.7k"
"R67","4.7k","TopLayer","R0603","52.2460","14.1160","270","0603,4.7k"
"R66","16k","TopLayer","R0603","72.3930","33.2803","90","0603,16k"
"R65","5.1k","TopLayer","R0603","72.3930","29.7903","90","0603,5.1k"
"R64","100k","TopLayer","R0603","65.9160","31.1975","90","0603,100k"
"R63","10k","TopLayer","R0603","21.7571","24.9250","180","0603,10k"
"Q1","ao3407a_c15155","TopLayer","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","67.6940","15.2450","270","数量:1个P沟道;漏源电压(Vdss):30V;连续漏极电流(Id):4.3A;导通电阻(RDS(on)):48mΩ@10V;耗散功率(Pd):-;阈值电压(Vgs(th)):2.5V@250uA;"
"P1","zx-pm2.54-2-20py","BottomLayer","HDR-TH_40P-P2.54-V-F-R2-C20-S2.54","81.1560","29.0880","90","插孔结构:2x20P;间距:2.54mm;行距:2.54mm;圆孔/方孔:方孔;安装方式:直插;排数:双排;总孔位数:40P;额定电流:3A;额定电压:-;插孔方向:顶部;塑高:8.5mm;触头材质:黄铜;触头镀层:金;工作温度:-40℃~+105℃;"
"LED7","xl-2012surc","TopLayer","LED0805-RD_RED","32.6420","12.2135","270","灯头类型:2mmx1.2mm方形灯头;发光颜色:红色;正向压降(Vf):2.3V;功率:50mW;正向电流:20mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:无色透明透镜;色温:-;发光强度:230mcd;发光角度:120°;载带方式:正贴;工作温度:-40℃~+85℃;"
"LED6","xl-2012surc","TopLayer","LED0805-RD_RED","30.4830","12.2135","270","灯头类型:2mmx1.2mm方形灯头;发光颜色:红色;正向压降(Vf):2.3V;功率:50mW;正向电流:20mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:无色透明透镜;色温:-;发光强度:230mcd;发光角度:120°;载带方式:正贴;工作温度:-40℃~+85℃;"
"LED5","xl-2012surc","TopLayer","LED0805-RD_RED","28.3240","12.2135","270","灯头类型:2mmx1.2mm方形灯头;发光颜色:红色;正向压降(Vf):2.3V;功率:50mW;正向电流:20mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:无色透明透镜;色温:-;发光强度:230mcd;发光角度:120°;载带方式:正贴;工作温度:-40℃~+85℃;"
"LED4","xl-2012surc","TopLayer","LED0805-RD_RED","26.1650","12.2135","270","灯头类型:2mmx1.2mm方形灯头;发光颜色:红色;正向压降(Vf):2.3V;功率:50mW;正向电流:20mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:无色透明透镜;色温:-;发光强度:230mcd;发光角度:120°;载带方式:正贴;工作温度:-40℃~+85℃;"
"LED3","xl-2012surc","TopLayer","LED0805-RD_RED","24.0060","12.2135","270","灯头类型:2mmx1.2mm方形灯头;发光颜色:红色;正向压降(Vf):2.3V;功率:50mW;正向电流:20mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:无色透明透镜;色温:-;发光强度:230mcd;发光角度:120°;载带方式:正贴;工作温度:-40℃~+85℃;"
"LED2","xl-2012surc","TopLayer","LED0805-RD_RED","21.8470","12.2135","270","灯头类型:2mmx1.2mm方形灯头;发光颜色:红色;正向压降(Vf):2.3V;功率:50mW;正向电流:20mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:无色透明透镜;色温:-;发光强度:230mcd;发光角度:120°;载带方式:正贴;工作温度:-40℃~+85℃;"
"LED1","xl-2012surc","TopLayer","LED0805-RD_RED","19.6880","12.2135","270","灯头类型:2mmx1.2mm方形灯头;发光颜色:红色;正向压降(Vf):2.3V;功率:50mW;正向电流:20mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:无色透明透镜;色温:-;发光强度:230mcd;发光角度:120°;载带方式:正贴;工作温度:-40℃~+85℃;"
"LED0","xl-2012surc","TopLayer","LED0805-RD_RED","17.5290","12.2135","270","灯头类型:2mmx1.2mm方形灯头;发光颜色:红色;正向压降(Vf):2.3V;功率:50mW;正向电流:20mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:无色透明透镜;色温:-;发光强度:230mcd;发光角度:120°;载带方式:正贴;工作温度:-40℃~+85℃;"
"L4","fhd4020s-3r3mt","TopLayer","IND-SMD_L4.0-W4.0","68.9640","32.0852","90","电感值:3.3uH;精度:±20%;额定电流:4A;饱和电流(Isat):5.9A;类型:绕线电感;"
"L3","220Ω/100 MHz","TopLayer","L0805","52.5953","27.4650","180","磁珠 220Ω @ 100 MHz, 2 A, 0805,BLM21PG221SN1D，村田"
"J2","pz254v-11-04p","TopLayer","HDR-TH_4P-P2.54-V-M","27.6890","48.3920","180","插针结构:1x4P;间距:2.54mm;行距:-;圆针/方针:方针;安装方式:直插;排数:单排;总PIN位数:4P;额定电流:3A;额定电压:250V;配合针长度:6mm;塑高:2.5mm;端接针长度:3mm;触头材质:-;工作温度:-40℃~+105℃;颜色:黑色;"
"F1","nsmd050-24v","TopLayer","F1206","67.4400","9.3243","90","耐压(Vmax):24V;最大电流(Imax):100A;保持电流(Ihold):500mA;跳闸电流(Itrip):1A;"
"D4","xl-2012surc","TopLayer","LED0805-RD_RED","10.3360","9.1605","270","灯头类型:2mmx1.2mm方形灯头;发光颜色:红色;正向压降(Vf):2.3V;功率:50mW;正向电流:20mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:无色透明透镜;色温:-;发光强度:230mcd;发光角度:120°;载带方式:正贴;工作温度:-40℃~+85℃;"
"D3","ncd0805c1","TopLayer","LED0805-RD","64.1812","18.4200","0","灯头类型:-;发光颜色:黄绿色;正向压降(Vf):1.6V~2.6V;功率:65mW;正向电流:25mA;波长:565nm~578nm;二极管配置:独立二极管;透镜颜色:-;色温:-;发光强度:55mcd;发光角度:130°;载带方式:-;工作温度:-30℃~+85℃;"
"D2","ncd0805c1","TopLayer","LED0805-RD","64.1380","30.6044","90","灯头类型:-;发光颜色:黄绿色;正向压降(Vf):1.6V~2.6V;功率:65mW;正向电流:25mA;波长:565nm~578nm;二极管配置:独立二极管;透镜颜色:-;色温:-;发光强度:55mcd;发光角度:130°;载带方式:-;工作温度:-30℃~+85℃;"
"C53","50V/0.1uF","TopLayer","C0603","64.5177","14.1020","180","0603,50V/104"
"C52","25V/22uF","TopLayer","C0805","64.0110","16.0070","180","0805,25V/22uF,"
"C51","50V/0.1uF","TopLayer","C0603","20.1150","20.1638","270","0603,50V/104"
"C50","50V/2.2uF","TopLayer","C0805","9.5740","22.6390","180","0805,50V/2.2uF,"
"C49","50V/2.2uF","TopLayer","C0805","49.4672","15.2679","0","0805,50V/2.2uF,"
"C48","50V/0.1uF","TopLayer","C0603","50.0222","13.4950","0","0603,50V/104"
"C47","10V/22uF","TopLayer","C0603","72.3930","26.8160","90","0603,10V/22uF"
"C46","50V/3.3nF","TopLayer","C0603","67.8210","22.1144","90","0603,50V/3.3nF"
"C45","50V/0.1uF","TopLayer","C0603","69.4720","22.1144","270","0603,50V/104"
"C44","50V/10uF","TopLayer","C0805","71.2500","21.5594","270","0805,50V/10uF,"
"C43","50V/1nF","TopLayer","C0603","21.7647","23.5280","180","0603,50V/1nF"
"C42","50V/10pF","TopLayer","C0603","25.6072","26.6470","180","0603,50V/10pF,C0G/NP0"
"C41","50V/10pF","TopLayer","C0603","25.0382","33.3780","0","0603,50V/10pF,C0G/NP0"
"C15","10V/2.2uF","TopLayer","C0603","43.7370","43.1508","90","0603,10V/2.2uF"
"U1","TMS320F280025CPNSR","TopLayer","PN0080A-MFG","39.0000","30.0000","180","32-bit MCU with 100 MHz, FPU, TMU, 128-KB flash, CLB 80-LQFP -40 to 125"
"S1","kh-6x6x5h-stm","TopLayer","SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0_H5.0","58.4230","10.4190","270","电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:6mm;开关宽度:6mm;开关高度:5mm;带支架:不带支架;触点电流:50mA;额定电压:12V;工作寿命:8万次;"
"R62","4.7k","TopLayer","R0603","35.1731","56.9010","180","0603,100Ω"
"R61","4.7k","TopLayer","R0603","35.1731","55.5040","0","0603,100Ω"
"R60","100Ω","TopLayer","R0603","17.7830","49.5337","270","0603,100Ω"
"R59","10k","TopLayer","R0603","25.6634","37.7240","180","0603,10k"
"R58","10k","TopLayer","R0603","25.6634","34.9300","180","0603,10k"
"R27","22Ω","TopLayer","R0603","58.2061","19.7180","0","0603,22Ω"
"R26","22Ω","TopLayer","R0603","58.2061","28.6080","0","0603,22Ω"
"R25","22Ω","TopLayer","R0603","58.2239","31.6560","0","0603,22Ω"
"R24","22Ω","TopLayer","R0603","48.5630","43.2041","90","0603,22Ω"
"R23","22Ω","TopLayer","R0603","58.2061","34.7040","0","0603,22Ω"
"R22","22Ω","TopLayer","R0603","35.8630","49.1731","90","0603,22Ω"
"R21","22Ω","TopLayer","R0603","38.9110","49.1909","90","0603,22Ω"
"R20","22Ω","TopLayer","R0603","32.3880","43.2117","90","0603,22Ω"
"R19","22Ω","TopLayer","R0603","35.4360","43.1939","90","0603,22Ω"
"R18","22Ω","TopLayer","R0603","52.1101","33.9420","0","0603,22Ω"
"R17","22Ω","TopLayer","R0603","58.2239","37.7520","0","0603,22Ω"
"R16","22Ω","TopLayer","R0603","41.9590","49.1731","90","0603,22Ω"
"R15","22Ω","TopLayer","R0603","58.2239","22.7660","0","0603,22Ω"
"R14","22Ω","TopLayer","R0603","58.2239","25.6870","0","0603,22Ω"
"R13","22Ω","TopLayer","R0603","58.2239","40.8000","0","0603,22Ω"
"R12","22Ω","TopLayer","R0603","58.2061","43.8480","0","0603,22Ω"
"R11","2.2k","TopLayer","R0603","52.0743","25.6590","0","0603,2.2k"
"R10","2.2k","TopLayer","R0603","25.6634","36.3270","180","0603,2.2k"
"L2","60Ω@100MHz","TopLayer","L0805","41.8320","43.7045","90","磁珠,60Ω@100MHz,3A,0805,CBW201209U600T,风华"
"J102","2.54-2*7p简牛","TopLayer","IDC-TH_14P-P2.54-V-R2-C7-S2.54","20.3230","56.3930","0","连接器类型:简牛座;间距:2.54mm;结构:2x7P;安装方式:直插;行距:2.54mm;排数:2;每排PIN数:7;触头材质:黄铜;触头镀层:金;"
"C40","50V/100pF","TopLayer","C0603","58.2163","21.2420","0","0603,50V/100pF"
"C39","50V/100pF","TopLayer","C0603","58.2341","33.1800","0","0603,50V/100pF"
"C38","50V/100pF","TopLayer","C0603","58.2163","36.2280","0","0603,50V/100pF"
"C37","50V/100pF","TopLayer","C0603","37.3870","49.1833","90","0603,50V/100pF"
"C36","50V/100pF","TopLayer","C0603","33.9120","43.1863","90","0603,50V/100pF"
"C35","50V/100pF","TopLayer","C0603","58.2341","39.2760","0","0603,50V/100pF"
"C34","50V/100pF","TopLayer","C0603","58.2341","24.2900","0","0603,50V/100pF"
"C33","50V/100pF","TopLayer","C0603","58.2341","42.3240","0","0603,50V/100pF"
"C32","50V/100pF","TopLayer","C0603","58.2163","30.1320","0","0603,50V/100pF"
"C31","50V/100pF","TopLayer","C0603","47.0390","43.1508","90","0603,50V/100pF"
"C30","50V/100pF","TopLayer","C0603","34.3390","49.1655","90","0603,50V/100pF"
"C29","50V/100pF","TopLayer","C0603","30.8640","43.2041","90","0603,50V/100pF"
"C28","50V/100pF","TopLayer","C0603","52.1203","35.4660","0","0603,50V/100pF"
"C27","50V/100pF","TopLayer","C0603","40.4350","49.1655","90","0603,50V/100pF"
"C26","50V/100pF","TopLayer","C0603","58.2341","27.2110","0","0603,50V/100pF"
"C25","50V/100pF","TopLayer","C0603","58.2163","45.3720","0","0603,50V/100pF"
"C24","10V/2.2uF","TopLayer","C0603","52.1203","36.9900","0","0603,10V/2.2uF"
"C23","50V/0.1uF","TopLayer","C0603","38.2656","16.0946","270","0603,50V/104"
"C22","50V/0.1uF","TopLayer","C0603","25.7167","25.0240","180","0603,50V/104"
"C21","50V/0.1uF","TopLayer","C0603","36.9600","43.1406","90","0603,50V/104"
"C20","50V/0.1uF","TopLayer","C0603","52.1203","30.8940","0","0603,50V/104"
"C19","10V/10uF","TopLayer","C0603","52.1203","29.3700","0","0603,10V/10uF"
"C18","10V/10uF","TopLayer","C0603","54.4860","30.1053","90","0603,10V/10uF"
"C17","50V/0.1uF","TopLayer","C0603","52.0743","24.1350","0","0603,50V/104"
"C16","10V/2.2uF","TopLayer","C0603","44.4543","45.4710","0","0603,10V/2.2uF"
"C14","50V/0.1uF","TopLayer","C0603","45.3880","43.1508","90","0603,50V/104"
"C13","50V/0.1uF","TopLayer","C0603","52.0717","32.3900","180","0603,50V/104"
"C12","50V/0.1uF","TopLayer","C0603","38.6110","43.1380","270","0603,50V/104"
"C11","50V/0.1uF","TopLayer","C0603","25.7192","23.5000","0","0603,50V/104"
"C10","50V/0.1uF","TopLayer","C0603","36.7416","16.0972","90","0603,50V/104"
"C9","10V/10uF","TopLayer","C0603","35.0906","16.0972","90","0603,10V/10uF"
